id,localizacion,latitud,longitud,magnitud,time,profundidad,mes,ano,estado,estatus,hora,minuto
40,9 km al SURESTE de COSCOMATEPEC,19,-97,6.7,0.629583333,110,4,1920,VER,revisado,15,6
41,125 km al ESTE de CACAHOATAN,15,-91,7.4,0.09912037,120,2,1921,CHIS,revisado,2,22
42,65 km al SUR de COALCOMAN,18.2,-103.3,6.5,0.584444444,33,4,1921,MICH,revisado,14,1
43,117 km al SUROESTE de NAVOLATO,24,-108.5,6.7,0.949814815,33,6,1922,SIN,revisado,22,47
44,10 km al SURESTE de NUEVA ITALIA,19,-102,6.7,0.074861111,100,8,1925,MICH,revisado,1,47
45,291 km al SUROESTE de CIHUATLAN,18,-107,7,0.246458333,33,11,1925,JAL,revisado,5,54
46,31 km al NOROESTE de MOTOZINTLA,15.5,-92.5,7,0.343541667,33,12,1925,CHIS,revisado,8,14
47,9 km al NORESTE de ACATLAN DE OSORIO,18.26,-97.99,6.5,0.944178241,84,2,1928,PUE,revisado,22,39
48,12 km al SURESTE de CRUCECITA,15.67,-96.1,7.5,0.928819444,33,3,1928,OAX,revisado,22,17
49,55 km al SUROESTE de TUXTEPEC,17.69,-96.44,6.7,0.892673611,115,4,1928,OAX,revisado,21,25
50,11 km al OESTE de MIAHUATLAN,16.33,-96.7,7.6,0.888518519,33,6,1928,OAX,revisado,21,19
51,49 km al SUR de H TLAXIACO,16.83,-97.61,7.4,0.519641204,33,8,1928,OAX,revisado,12,28
52,35 km al NORESTE de RIO GRANDE,16.3,-97.3,7.5,0.875787037,33,10,1928,OAX,revisado,21,1
53,257 km al SUROESTE de PUERTO VALLARTA,19,-107,6.7,0.159050926,33,1,1931,JAL,revisado,3,49
54,30 km al OESTE de MIAHUATLAN,16.34,-96.87,7.8,0.826851852,40,1,1931,OAX,revisado,19,50
55,4 km al SURESTE de CASIMIRO CASTILLO,19.57,-104.42,8.2,0.192268519,33,6,1932,JAL,revisado,4,36
56,14 km al SUROESTE de TUXPAN,19.5,-103.5,7.8,0.175115741,33,6,1932,JAL,revisado,4,12
57,52 km al SUROESTE de MANZANILLO,18.74,-104.68,6.9,0.291296296,33,6,1932,COL,revisado,6,59
58,149 km al OESTE de M ALEMAN(LA DOCE),29,-113,6.7,0.427673611,33,7,1932,SON,revisado,10,15
59,51 km al SUROESTE de HUATABAMPO,26.5,-110,6.7,0.558449074,33,7,1932,SON,revisado,13,24
60,7 km al SUROESTE de TECOMAN,18.87,-103.93,6.9,0.133865741,33,7,1932,COL,revisado,3,12
61,8 km al NOROESTE de CD DE ARMERIA,19,-104,6.8,0.432048611,33,12,1932,COL,revisado,10,22
62,54 km al NOROESTE de CIHUATLAN,19.5,-105,6.6,0.915474537,33,4,1933,JAL,revisado,21,58
63,29 km al ESTE de PETATLAN,17.5,-101,6.9,0.190046296,33,5,1933,GRO,revisado,4,33
64,9 km al ESTE de COYUCA DE BENITEZ,17,-100,6.8,0.548645833,33,1,1934,GRO,revisado,13,10
65,83 km al SUROESTE de CIHUATLAN,19,-105.31,7,0.836990741,33,11,1934,JAL,revisado,20,5
66,46 km al SURESTE de GPE VICTORIA(KM.43),32,-114.75,7.1,0.531770833,33,12,1934,BC,revisado,12,45
67,36 km al OESTE de COALCOMAN,18.75,-103.5,6.9,0.033958333,33,6,1935,MICH,revisado,0,48
68,31 km al SUROESTE de TAPACHULA,14.75,-92.5,7.3,0.670335648,33,12,1935,CHIS,revisado,16,5
69,24 km al NORTE de TRES VALLES,18.45,-96.08,7.3,0.907789352,85,7,1937,VER,revisado,21,47
70,20 km al NORTE de CHILAPA DE ALVAREZ,17.78,-99.17,6.9,0.157847222,100,10,1937,GRO,revisado,3,47
71,46 km al SUROESTE de H TLAXIACO,17.1,-98.07,7.4,0.304143519,33,12,1937,OAX,revisado,7,17
72,54 km al SUROESTE de RIO GRANDE,15.68,-97.8,6.5,0.002372685,33,12,1937,OAX,revisado,0,3
73,179 km al NORESTE de GUERRERO NEGRO,29.5,-113.5,6.7,0.30193287,33,5,1939,BCS,revisado,7,14
74,73 km al SURESTE de CD HIDALGO,14.5,-91.5,6.7,0.104247685,33,12,1939,CHIS,revisado,2,30
75,5 km al NOROESTE de MEXICALI,32.7,-115.5,7.1,0.942141204,33,5,1940,BC,revisado,22,36
76,85 km al SURESTE de CD HIDALGO,14.25,-91.5,6.7,0.314236111,90,7,1940,CHIS,revisado,7,32
77,25 km al NORESTE de COALCOMAN,18.85,-102.94,7.6,0.548506944,33,4,1941,MICH,revisado,13,9
78,43 km al NORTE de HUETAMO,19,-101,6.7,0.168136574,100,6,1942,MICH,revisado,4,2
79,93 km al ESTE de CD HIDALGO,14.8,-91.3,7.9,0.734016204,50,8,1942,CHIS,revisado,17,36
80,75 km al SUR de LAS CHOAPAS,17.25,-94.25,6.7,0.95525463,90,11,1942,VER,revisado,22,55
81,20 km al NORESTE de PETATLAN,17.6,-101.1,7.4,0.139409722,33,2,1943,GRO,revisado,3,20
82,85 km al SURESTE de CD HIDALGO,14.25,-91.5,6.7,0.424074074,80,8,1943,CHIS,revisado,10,10
83,71 km al ESTE de CACAHOATAN,15,-91.5,6.7,0.375509259,110,9,1943,CHIS,revisado,9,0
84,46 km al SUROESTE de TECPAN,17,-101,6.5,0.590185185,33,1,1944,GRO,revisado,14,9
85,16 km al SUR de HUIXTLA,15,-92.5,7.1,0.082569444,33,6,1944,CHIS,revisado,1,58
86,102 km al SUR de H GUAYMAS,27,-111,6.8,0.297453704,33,6,1945,SON,revisado,7,8
87,841 km al SUROESTE de CABO SAN LUCAS,17,-115,6.7,0.980069444,33,6,1945,BCS,revisado,23,31
88,31 km al SUROESTE de TEHUACAN,18.32,-97.65,6.5,0.45349537,95,10,1945,PUE,revisado,10,53
89,98 km al ESTE de CACAHOATAN,15,-91.25,6.7,0.225474537,200,10,1945,CHIS,revisado,5,24
90,31 km al NOROESTE de ARRIAGA ,16.5,-94,6.5,0.925925926,100,6,1946,CHIS,revisado,22,13
91,59 km al ESTE de MATIAS ROMERO,17,-94.5,6.9,0.949097222,130,7,1946,OAX,revisado,22,46
92,45 km al SUROESTE de H TLAXIACO,17,-98,6.9,0.474722222,80,1,1948,OAX,revisado,11,23
93,45 km al SUROESTE de H TLAXIACO,17,-98,7,0.476365741,80,1,1948,OAX,revisado,11,25
94,31 km al SURESTE de J RODRIGUEZ CLARA,17.75,-95.25,6.5,0.191886574,100,8,1948,VER,revisado,4,36
95,116 km al SUROESTE de TECUALA,22,-106.5,6.9,0.765833333,33,12,1948,NAY,revisado,18,22
96,257 km al SUROESTE de PUERTO VALLARTA,19,-107,7,0.022453704,60,9,1950,JAL,revisado,0,32
97,225 km al SUROESTE de CIHUATLAN,17.73,-106,6.6,0.154837963,33,10,1950,JAL,revisado,3,42
98,56 km al SURESTE de CD HIDALGO,14.3,-91.8,7.2,0.425925926,33,10,1950,CHIS,revisado,10,13
99,33 km al NORTE de ATOYAC DE ALVAREZ,17.5,-100.5,6.6,0.561377315,33,11,1950,GRO,revisado,13,28
100,47 km al OESTE de H TLAXIACO,17.22,-98.12,7.2,0.344328704,33,12,1950,OAX,revisado,8,15
101,59 km al ESTE de MATIAS ROMERO,17,-94.5,7,0.81775463,100,12,1951,OAX,revisado,19,37
102,39 km al NOROESTE de OMETEPEC,16.9,-98.7,6.8,0.139189815,33,12,1951,GRO,revisado,3,20
103,103 km al SURESTE de CD HIDALGO,14.1,-91.4,6.7,0.306273148,96,8,1953,CHIS,revisado,7,21
104,57 km al SUROESTE de OMETEPEC,16.4,-98.85,6.7,0.387881944,33,12,1953,GRO,revisado,9,18
105,120 km al NORESTE de GUERRERO NEGRO,28.5,-113,7,0.232337963,33,4,1954,BCS,revisado,5,34
106,100 km al NORESTE de LA PAZ,25,-110,6.6,0.381423611,33,4,1955,BCS,revisado,9,9
107,145 km al SURESTE de CD HIDALGO,14,-91,6.6,0.592708333,60,8,1955,CHIS,revisado,14,13
108,31 km al NOROESTE de MOTOZINTLA,15.5,-92.5,6.9,0.103009259,200,9,1955,CHIS,revisado,2,28
109,75 km al ESTE de RODOLFO SANCHEZ T(MRO),31.9,-115.8,6.7,0.356006944,33,2,1956,BC,revisado,8,32
110,93 km al SUR de PINOTEPA NACIONAL,15.52,-98.25,6.7,0.966770833,33,4,1957,OAX,revisado,23,12
111,47 km al NORESTE de SAN MARCOS,17.11,-99.1,7.8,0.111226852,33,7,1957,GRO,revisado,2,40
112,28 km al SURESTE de TEPELMEME,17.72,-97.15,6.8,0.553969907,80,5,1959,OAX,revisado,13,17
113,12 km al NORTE de ALLENDE,18.26,-94.43,6.4,0.101053241,21,8,1959,VER,revisado,2,25
114,59 km al ESTE de MATIAS ROMERO,17,-94.5,6.9,0.433287037,150,7,1960,OAX,revisado,10,23
115,141 km al SUROESTE de CD HIDALGO,13.5,-92.66,6.6,0.535115741,25,9,1961,CHIS,revisado,12,50
116,34 km al SUR de CHILPANCINGO,17.25,-99.58,7.1,0.341631944,33,5,1962,GRO,revisado,8,11
117,41 km al NOROESTE de SAN MARCOS,17.12,-99.57,7,0.373726852,33,5,1962,GRO,revisado,8,58
118,182 km al SUR de PUERTO PEÃ‘ASCO,29.68,-113.74,6.5,0.360023148,7,11,1963,SON,revisado,8,38
119,85 km al SUROESTE de HUATABAMPO,26.32,-110.28,6.5,0.843483796,10,7,1964,SON,revisado,20,14
120,38 km al SUROESTE de CD ALTAMIRANO,18.03,-100.77,7.2,0.057094907,55,7,1964,GRO,revisado,1,22
121,53 km al NORESTE de CRUCECITA,16.178,-95.877,7.4,0.573634259,12,8,1965,OAX,revisado,13,46
122,27 km al NORTE de COYUCA DE BENITEZ,17.249,-100.07,6.5,0.005451389,65,12,1965,GRO,revisado,0,7
123,38 km al NORESTE de ATOYAC DE ALVAREZ,17.508,-100.256,6.7,0.906157407,62,7,1968,GRO,revisado,21,44
124,39 km al NORESTE de PINOTEPA NACIONAL,16.6,-97.8,7.3,0.337928241,16,8,1968,OAX,revisado,8,6
125,114 km al SURESTE de SALINA CRUZ,15.231,-94.775,6.6,0.191759259,23,11,1968,OAX,revisado,4,36
126,65 km al SUROESTE de LOS MOCHIS,25.25,-109.24,6.5,0.592465278,15,8,1969,SIN,revisado,14,13
127,93 km al SUROESTE de LOS MOCHIS,25.12,-109.55,6.7,0.59375,15,8,1969,SIN,revisado,14,15
128,144 km al SUROESTE de LA CRUZ,23.105,-107.99,6.6,0.214143519,10,11,1969,SIN,revisado,5,8
129,141 km al SUR de SAN MARCOS,15.524,-99.493,6.6,0.964467593,21,2,1970,GRO,revisado,23,8
130,62 km al SUROESTE de CD HIDALGO,14.463,-92.683,7.3,0.334421296,44,4,1970,CHIS,revisado,8,1
131,100 km al SUROESTE de MAPASTEPEC,14.608,-93.26,6.5,0.106226852,22,4,1970,CHIS,revisado,2,32
132,92 km al SUROESTE de PUEBLO YAQUI,26.88,-110.8,6.5,0.095833333,14,9,1971,SON,revisado,2,18
133,238 km al OESTE de CIHUATLAN,18.7,-106.756,6.6,0.095671296,10,10,1972,JAL,revisado,2,17
134,73 km al SUR de SALINA CRUZ,15.541,-95.04,6.5,0.947048611,14,11,1972,OAX,revisado,22,43
135,43 km al SURESTE de COALCOMAN,18.412,-103.019,7.6,0.625833333,24,1,1973,MICH,revisado,15,1
136,30 km al SUROESTE de TIERRA BLANCA,18.248,-96.551,7.3,0.160196759,82,8,1973,VER,revisado,3,50
137,102 km al SUROESTE de MAPASTEPEC,14.85,-93.62,5,0.700601852,33,1,1974,CHIS,revisado,16,48
138,63 km al SUROESTE de COALCOMAN,18.26,-103.41,5.1,0.983020833,33,1,1974,MICH,revisado,23,35
139,69 km al SURESTE de CD HIDALGO,14.08,-91.96,5.1,0.046990741,75,2,1974,CHIS,revisado,1,7
140,30 km al SUR de PINOTEPA NACIONAL,16.08,-98.12,5.1,0.002002315,33,2,1974,OAX,revisado,0,2
141,80 km al SUROESTE de PINOTEPA NACIONAL,15.65,-98.28,5.3,0.014976852,33,2,1974,OAX,revisado,0,21
142,58 km al SURESTE de CD HIDALGO,14.53,-91.63,5.4,0.696527778,108,4,1974,CHIS,revisado,16,43
143,91 km al ESTE de CD HIDALGO,14.71,-91.31,5.3,0.038206019,138,4,1974,CHIS,revisado,0,55
144,12 km al NORESTE de TLAPA,17.65,-98.53,5.3,0.959201389,50,5,1974,GRO,revisado,23,1
145,83 km al SUROESTE de H GUAYMAS,27.23,-111.24,6.3,0.336793981,33,5,1974,SON,revisado,8,4
146,23 km al ESTE de SAN MARCOS,16.83,-99.18,5.1,0.324085648,49,6,1974,GRO,revisado,7,46
147,52 km al ESTE de OMETEPEC,16.8,-97.93,5,0.248113426,96,6,1974,GRO,revisado,5,57
148,51 km al SUROESTE de TLAPA,17.17,-98.86,5.1,0.07275463,33,6,1974,GRO,revisado,1,44
149,85 km al SUR de SALINA CRUZ,15.42,-95.3,5.3,0.95900463,25,6,1974,OAX,revisado,23,0
150,80 km al SURESTE de CRUCECITA,15.44,-95.47,5.6,0.114409722,30,6,1974,OAX,revisado,2,44
151,23 km al NOROESTE de OMETEPEC,16.78,-98.6,5.6,0.556516204,33,7,1974,GRO,revisado,13,21
152,50 km al SUROESTE de CD HIDALGO,14.29,-92.39,5.3,0.10318287,70,7,1974,CHIS,revisado,2,28
153,31 km al NORESTE de ATOYAC DE ALVAREZ,17.45,-100.29,5.1,0.643958333,73,8,1974,GRO,revisado,15,27
154,108 km al SURESTE de LAS MARGARITAS,15.95,-91.04,5.1,0.019212963,33,8,1974,CHIS,revisado,0,27
155,274 km al SURESTE de CD HIDALGO,13.56,-89.89,5,0.593483796,85,9,1974,CHIS,revisado,14,14
156,152 km al SURESTE de CD HIDALGO,13.78,-91.09,5,0.249803241,33,9,1974,CHIS,revisado,5,59
157,20 km al SUR de ACAPULCO,16.69,-99.89,5.5,0.464965278,50,10,1974,GRO,revisado,11,9
158,34 km al NOROESTE de PIJIJIAPAN,15.84,-93.48,6,0.753865741,100,10,1974,CHIS,revisado,18,5
159,11 km al SUROESTE de COYUCA DE BENITEZ,16.92,-100.14,5.1,0.706712963,33,11,1974,GRO,revisado,16,57
160,69 km al ESTE de CD HIDALGO,14.63,-91.51,5.2,0.275509259,97,12,1974,CHIS,revisado,6,36
161,430 km al SURESTE de CD HIDALGO,13.19,-88.47,5.3,0.396712963,50,12,1974,CHIS,revisado,9,31
162,228 km al ESTE de CD HIDALGO,14.26,-90.08,5.4,0.84056713,155,12,1974,CHIS,revisado,20,10
163,64 km al SURESTE de CD HIDALGO,14.15,-91.92,5.4,0.59412037,75,12,1974,CHIS,revisado,14,15
164,70 km al SURESTE de CD HIDALGO,14.13,-91.82,6.1,0.598020833,39,12,1974,CHIS,revisado,14,21
165,55 km al SUR de CD HIDALGO,14.18,-92.19,5,0.703194444,80,1,1975,CHIS,revisado,16,52
166,92 km al NOROESTE de TIJUANA,32.8,-117.97,5.1,0.640439815,8,1,1975,BC,revisado,15,22
167,392 km al SUROESTE de LA MIRA,15.37,-104.75,5.1,0.426747685,44,1,1975,MICH,revisado,10,14
168,37 km al ESTE de FRONTERA COMALAPA,15.61,-91.8,5.4,0.794039352,218,2,1975,CHIS,revisado,19,3
169,12 km al SURESTE de TECPAN,17.16,-100.54,5.3,0.782881944,40,2,1975,GRO,revisado,18,47
170,281 km al SURESTE de CHETUMAL,16.32,-86.96,5.2,0.736226852,33,3,1975,QR,revisado,17,40
171,14 km al ESTE de TONALA,16.11,-93.63,5.5,0.003136574,155,3,1975,CHIS,revisado,0,4
172,190 km al SURESTE de CD HIDALGO,13.65,-90.74,5.3,0.855115741,33,3,1975,CHIS,revisado,20,31
173,62 km al SUROESTE de OMETEPEC,16.34,-98.87,6,0.218611111,11,4,1975,GRO,revisado,5,14
174,68 km al SUROESTE de OMETEPEC,16.2,-98.8,5.1,0.240347222,34,4,1975,GRO,revisado,5,46
175,151 km al SUROESTE de LA CRUZ,23.06,-108.04,5.2,0.851377315,33,6,1975,SIN,revisado,20,25
176,336 km al SURESTE de CD HIDALGO,13.37,-89.34,5,0.425486111,93,6,1975,CHIS,revisado,10,12
177,70 km al SUROESTE de LA MIRA,17.79,-102.94,5.1,0.707222222,27,6,1975,MICH,revisado,16,58
178,160 km al NORESTE de GUERRERO NEGRO,29.304,-113.468,6.5,0.150983796,5,7,1975,BCS,revisado,3,37
179,75 km al SUROESTE de AHOME,25.38,-109.62,5.2,0.393252315,33,7,1975,SIN,revisado,9,26
180,136 km al NORESTE de SAN JOSE DEL CABO,23.92,-108.75,5,0.46880787,33,8,1975,BCS,revisado,11,15
181,63 km al SUROESTE de ARRIAGA ,15.85,-94.34,5.6,0.373055556,33,8,1975,CHIS,revisado,8,57
182,142 km al SUROESTE de PINOTEPA NACIONAL,15.29,-98.81,5.6,0.596469907,33,8,1975,OAX,revisado,14,18
183,110 km al SUROESTE de MAPASTEPEC,14.65,-93.51,5.2,0.714074074,38,8,1975,CHIS,revisado,17,8
184,22 km al NOROESTE de VICENTE GUERRERO,30.89,-116.12,5.4,0.860104167,33,9,1975,BC,revisado,20,38
185,32 km al NOROESTE de VICENTE GUERRERO,30.87,-116.28,5.1,0.871828704,33,9,1975,BC,revisado,20,55
186,129 km al SUROESTE de PIJIJIAPAN,14.75,-93.92,5.4,0.300717593,33,9,1975,CHIS,revisado,7,13
187,76 km al SUROESTE de LOS MOCHIS,25.15,-109.26,5.7,0.471956019,33,9,1975,SIN,revisado,11,19
188,42 km al SUR de CD LAZARO CARDENAS,17.58,-102.28,5.5,0.361909722,33,10,1975,MICH,revisado,8,41
189,37 km al SUR de PICHUCALCO,17.18,-93.17,5.1,0.805543981,12,10,1975,CHIS,revisado,19,19
190,39 km al SUROESTE de PICHUCALCO,17.2,-93.29,5.1,0.805590278,33,10,1975,CHIS,revisado,19,20
191,24 km al ESTE de ACAPULCO,16.86,-99.67,5.7,0.954143519,33,10,1975,GRO,revisado,22,53
192,18 km al NOROESTE de S CRISTOBAL LAS CASAS,16.87,-92.73,5.2,0.461319444,20,11,1975,CHIS,revisado,11,4
193,24 km al NORTE de LAS GUACAMAYAS,18.23,-102.18,5.9,0.394791667,33,11,1975,MICH,revisado,9,28
194,37 km al NORESTE de UNION HIDALGO,16.59,-94.5,5,0.373842593,89,12,1975,OAX,revisado,8,58
195,142 km al SUROESTE de CD HIDALGO,13.66,-92.95,5,0.352627315,33,12,1975,CHIS,revisado,8,27
196,417 km al SURESTE de CD HIDALGO,13.04,-88.67,5.3,0.232523148,33,1,1976,CHIS,revisado,5,34
197,160 km al SURESTE de CD HIDALGO,13.93,-90.88,5,0.208194444,103,1,1976,CHIS,revisado,4,59
198,148 km al SURESTE de CD HIDALGO,13.94,-91.01,5.1,0.887337963,69,1,1976,CHIS,revisado,21,17
199,21 km al NOROESTE de COYUCA DE BENITEZ,17.17,-100.19,5.7,0.218715278,52,2,1976,GRO,revisado,5,14
200,319 km al ESTE de FRONTERA COMALAPA,15.262,-89.198,7.5,0.126226852,13,2,1976,CHIS,revisado,3,1
201,173 km al ESTE de CACAHOATAN,14.94,-90.56,5.4,0.146168981,5,2,1976,CHIS,revisado,3,30
202,163 km al SURESTE de CD HIDALGO,14.17,-90.73,5,0.16931713,5,2,1976,CHIS,revisado,4,3
203,190 km al ESTE de CD HIDALGO,14.32,-90.43,5,0.508310185,5,2,1976,CHIS,revisado,12,11
204,166 km al ESTE de CD HIDALGO,14.76,-90.61,5.7,0.513391204,5,2,1976,CHIS,revisado,12,19
205,325 km al SUR de CHETUMAL,15.57,-88.47,5.6,0.092893519,5,2,1976,QR,revisado,2,13
206,330 km al SURESTE de LAS MARGARITAS,15.32,-89.07,5.2,0.239421296,5,2,1976,CHIS,revisado,5,44
207,141 km al SUROESTE de TUXPAN,21.59,-106.61,5.5,0.645798611,48,2,1976,NAY,revisado,15,29
208,30 km al SURESTE de SALINA CRUZ,15.94,-95.08,5.1,0.521886574,33,2,1976,OAX,revisado,12,31
209,111 km al SUR de CD HIDALGO,13.68,-92.26,5.5,0.347708333,32,2,1976,CHIS,revisado,8,20
210,117 km al ESTE de CD HIDALGO,14.58,-91.07,5.1,0.87087963,33,3,1976,CHIS,revisado,20,54
211,179 km al SURESTE de CD HIDALGO,14.25,-90.55,5.2,0.071180556,33,3,1976,CHIS,revisado,1,42
212,118 km al ESTE de CD HIDALGO,14.77,-91.06,5.4,0.437974537,5,3,1976,CHIS,revisado,10,30
213,10 km al ESTE de TLAXCOAPAN,20.11,-99.13,5.1,0.711875,15,3,1976,HGO,revisado,17,5
214,89 km al SUROESTE de CIHUATLAN,18.54,-104.98,5.3,0.595671296,45,4,1976,JAL,revisado,14,17
215,526 km al SURESTE de CD HIDALGO,13.07,-87.57,5.3,0.113506944,33,5,1976,CHIS,revisado,2,43
216,23 km al NOROESTE de HUETAMO,18.78,-101.05,5.1,0.367962963,125,5,1976,MICH,revisado,8,49
217,21 km al NOROESTE de TECPAN,17.406,-100.682,6.5,0.351875,57,6,1976,GRO,revisado,8,26
218,50 km al SUR de SALINA CRUZ,15.73,-95.2,5,0.32912037,33,6,1976,OAX,revisado,7,53
219,29 km al SUR de ZIHUATANEJO,17.38,-101.55,5,0.6565625,40,6,1976,GRO,revisado,15,45
220,346 km al SUR de CABO SAN LUCAS,19.83,-109.24,5.2,0.279502315,33,7,1976,BCS,revisado,6,42
221,36 km al SUR de CIHUATLAN,18.92,-104.65,5.2,0.126550926,33,7,1976,JAL,revisado,3,2
222,281 km al SURESTE de CD HIDALGO,13.26,-89.99,5,0.180844907,81,9,1976,CHIS,revisado,4,20
223,4 km al NOROESTE de HUETAMO,18.64,-100.93,5.5,0.591435185,61,9,1976,MICH,revisado,14,11
224,41 km al SUR de CD ALTAMIRANO,18,-100.58,5.5,0.623668981,42,9,1976,GRO,revisado,14,58
225,52 km al SUROESTE de CD HIDALGO,14.26,-92.38,5,0.950648148,33,10,1976,CHIS,revisado,22,48
226,69 km al OESTE de PUERTO VALLARTA,20.58,-105.89,5,0.395775463,36,11,1976,JAL,revisado,9,29
227,46 km al SURESTE de GPE VICTORIA(KM.43),31.98,-114.78,5.5,0.29162037,8,12,1976,BC,revisado,6,59
228,371 km al SURESTE de CD HIDALGO,13.6,-88.89,5,0.472673611,79,12,1976,CHIS,revisado,11,20
229,107 km al ESTE de LORETO,25.89,-110.28,5.2,0.714201389,33,12,1976,BCS,revisado,17,8
230,47 km al OESTE de ARRIAGA ,16.17,-94.33,5.2,0.3728125,33,1,1977,CHIS,revisado,8,56
231,14 km al SUR de VILLAFLORES,16.11,-93.28,5.3,0.610451389,236,4,1977,CHIS,revisado,14,39
232,466 km al SURESTE de CD HIDALGO,13.15,-88.13,5.2,0.167627315,10,4,1977,CHIS,revisado,4,1
233,52 km al SUROESTE de HUETAMO,18.28,-101.23,5,0.539537037,91,4,1977,MICH,revisado,12,56
234,85 km al SUROESTE de TAPACHULA,14.5,-92.93,5.1,0.622453704,33,6,1977,CHIS,revisado,14,56
235,260 km al SURESTE de CHETUMAL,16.61,-86.85,5.7,0.865405093,14,8,1977,QR,revisado,20,46
236,269 km al SURESTE de CHETUMAL,16.7,-86.61,5.9,0.911041667,36,8,1977,QR,revisado,21,51
